data_source,ID,food_name,food_img,recipe_link,serving,category_high_level,category_mid_level,category_low_level,created_date,views,likes,reviews,comments,재료1,재료2,재료3,재료4,재료5,재료6,재료7,재료8,재료9,재료10,재료1_정량,재료2_정량,재료3_정량,재료4_정량,재료5_정량,재료6_정량,재료7_정량,재료8_정량,재료9_정량,재료10_정량,rating
API,952,복숭아 화채,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053642_1416213402814.jpg,"1. 오미자에 7배의 물에 8시간 담궈 맛과 색이 우러나도록 한다.
2. 천도복숭아는 사방 0.5cm의 주사위모양으로 썰어 설탕을 뿌려 30분 정도 절인다.
3. 배를 모양 틀로 찍어 0.3cm 두께로 썰어 설탕에 절인다.
4. 오미자 국물을 면보에 거르고 시럽으로 단맛을 맞춘다.
5. 4에 복숭아와 배를 넣는다.
6. 5에 잣과 얼음을 띄운다.",1인분,,후식,기타,2022-08-12,0,0,0,0,오미자,천도복숭아,배,설탕,물,잣,,,,,5g,30g,10g,10g,45g,1g설탕시럼설탕과물을동량으로하여중불에서서서히녹인다.기호에맞게만든다.,,,,,0.0
API,954,홍시 쉐이크,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053645_1416213405140.jpg,"1. 냉동 홍시의 껍질을 벗기고 씨를 뺀다.
2. 1을 잘게 자른다.
3. 오미자를 7배의 물에 8시간 이상 우려 맛과 색이 우러나오도록 한다.
4. 믹서에 홍시, 오미자물, 꿀, 레몬즙을 넣어 함께 갈아준다.
5. 4를 컵에 담는다.
6. 민트로 장식한다.",1인분,,후식,기타,2022-08-12,0,0,0,0,냉동홍시,오미자,물,레몬즙,꿀,민트,,,,,70g,5g,35g,4g,5g,1g,,,,,0.0
API,3181,시금치들깨무침,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129102439_1611883479294.jpg,"1. 파, 마늘은 다진다.
2. 냄비에 물과 소금을 넣고 끓인다.
3. 세척한 시금치를 데친다.
4. 데친 시금치는 찬물에 헹구어 물기를 짠 다음 먹기 좋게 썬다.
5. 시금치에 들깨가루, 파, 마늘, 통깨, 들기름을 넣고 무친다.
6. 접시에 담아서 완성한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,시금치,파,마늘,들깨가루,통깨,들기름,,,,,70g,5g,5g,15g,5g,5g,,,,,0.0
API,956,김치떡,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053647_1416213407139.jpg,"1. 메밀가루, 밀가루, 찹쌀가루에 소금을 넣어 체에 내린 뒤 끓는 물을 넣어 익반죽한다.
2. 김치는 송송 썰고 오징어는 껍질을 벗겨 굵게 다진다.
3. 가열된 팬에 기름을 두르고 김치를 볶은 다음 오징어를 넣고 볶아 식힌다.
4. 반죽을 떼어 10cm 둥근 모양으로 빚은 다음 가운데에 3을 넣고 반달모양으로 접어 모양을 만든다.
5. 김이 오른 찜통에 면보를 깔고 14분간 찐 다음 5분 정도 뜸을 들인다.
6. 한 김 식힌 뒤 접시에 담아낸다.",1인분,,후식,찌기,2022-08-12,0,0,0,0,메밀가루,찹쌀가루,밀가루,물,소금적당량[소재료]김치,오징어30g[양념]설탕,깨소금,파다진것,마늘다진것,참기름,20g,20g,20g,20g,20g,5g,1g,4g,3g,1g,0.0
API,958,누룽지 피자,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053649_1416213409310.jpg,"1. 잡곡밥에 소량의 물을 넣고 밥알을 풀어준다.
2. 기름을 두르지 않은 팬에 1을 0.4cm두께로 노릇하게 양면을 굽는다.
3. 양파와 청, 홍피망, 햄은 적당한 크기로 썰고 캔 옥수수는 물기를 뺀다.
4. 냄비에 식용유를 두르고 다진 마늘과 다진 양파, 다진 소고기를 넣고 볶은 뒤 토마토 케첩과 물을 약간 넣어 졸이면서 설탕, 간장, 후춧가루로 간한다.
5. 누룽지에 4를 골고루 펴 바르고 그 위에 토핑 재료, 피자치즈, 송송 썬 실파를 뿌린다.
6. 5번을 예열된 오븐에 굽는다.",1인분,,후식,굽기,2022-08-12,0,0,0,0,잡곡밥흑미검은콩,피자치즈,양파,청피망,홍피망,양송이,햄,캔옥수수,실파5g[피자소스]마늘다진것,양파다진것,50g,20g,10g,8g,8g,10g,5g,10g,2g,5g,0.0
API,959,단호박 새우찜,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053650_1416213410481.jpg,"1. 단호박은 표면을 깨끗하게 씻어 물기를 제거하고 꼭지 부분의 윗면을 자르고 수저로 속을 파낸 후 소금을 뿌려 놓는다.
2. 새우살은 다지고 두부는 면보로 싸서 물기를 제거하고 곱게 으깨고 불린 건표고버섯과 청, 홍피망은 곱게 다지고 실파는 송송 썬다.
3. 2의 재료를 한 데 섞고 소금, 다진 마늘, 깨소금, 참기름, 흰 후춧가루를 넣고 양념하여 소를 만든다.
4. 1의 내부에 수분을 제거한다.
5. 4의 안쪽에 밀가루를 살짝 뿌리고 밀가루가 골고루 잘 묻도록 한다.
6. 준비된 소를 채운 후 잘라둔 꼭지 부분의 뚜껑을 덮어 김 오른 찜통에 20분가량 찐 뒤 4~6등분 하여 낸다.",1인분,,반찬,찌기,2022-08-12,0,0,0,0,단호박작은것,잔새우살다진것,두부,건표고버섯,청피망다진것,홍피망다진것,실파,밀가루,마늘,깨소금,125g,20g,20g,10g,10g,10g,5g,8g,3g,1g,0.0
API,960,두부 샌드위치,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053651_1416213411605.jpg,"1. 두부는 3cm 주사위모양으로 썰고 소금을 뿌려 간을 한다.
2. 과일은 5mm 주사위모양으로 썬 뒤 꿀을 넣고 버무린다.
3. 기름을 두른 팬에 1을 넣고 5면을 노릇하게 지진 뒤 종이타월로 기름기를 제거한다.
4. 3의 지지지 않은 한 쪽 면을 숟가락을 이용해 뚫리지 않게 조심스럼게 파낸다.
5. 속을 파낸 두부에 2를 채워 넣는다.
6. 민트로 장식한다",1인분,,반찬,굽기,2022-08-12,0,0,0,0,두부,키위,오렌지,토마토,바나나,사과,꿀,식용유,,,80g,20g,20g,20g,20g,20g,10g,5g,,,0.0
API,961,라이스페이퍼 새우롤,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053652_1416213412573.jpg,"1. 새우는 끓는 물에 대친 뒤 찬물에 담궈 식히고 껍질을 벗긴다.
2. 홍피망은 얇게 채 썰고 팽이버섯은 밑동을 잘라 준비하고 숙주는 거두절미하여 끓는 물에 데친 뒤 찬물에 식혀서 물기를 빼고 상추는 채 썬다.
3. 쌀국수를 물에 불렸다가 끓는 물에 데친 뒤 찬물에 식혀 물기를 제거한다.
4. 따뜻한 물에 라이스페이퍼를 담궜다가 꺼내 면보 위에 놓고 물기를 살짝 제거하고 1, 2, 3을 올리고 조심스럽게 말아준다.
5. 마늘은 다지고 양파, 홍고추, 청고추는 0.3mm로 잘게 썬다.
6. 팬에 고추기름을 두르고 다진 마늘을 볶다가 양파를 넣고 청, 홍고추를 넣어 살짝 볶은 뒤 물, 식초, 설탕을 넣고 물전분으로 농도를 맞춘다.",1인분,,반찬,끓이기,2022-08-12,0,0,0,0,새우,홍피망,팽이버섯,숙주,무순,상추,차이브,쌀국수가는것,라이스페이퍼20g[새콤달콤소스]양파,마늘,20g,5g,5g,15g,3g,5g,5g,15g,5g,1g,0.0
API,962,"레몬, 파슬리 빵가루를 입힌 도미",http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053653_1416213413557.jpg,"1. 도미에는 소금과 후추로 밑간을 하고 마늘, 파슬리는 다진다.
2. 버터를 두른 팬에 다진 마늘을 넣고 마늘 향을 낸 버터물을 만든다.
3. 2에 빵가루를 섞어 믹싱볼로 옮겨 담는다.
4. 3에 다진 파슬리, 레몬주스, 레몬제스트, 소금, 후추를 넣고 고무주걱으로 잘 섞는다.
5. 도미를 양념하고 도미위에 4을 얹는다.
6. 5를 오븐에 굽는다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,도미,마늘다진것,빵가루,버터,레몬주스,레몬제스트,파슬리다진것,,,,40g,2g,10g,1g,3g,2g,2g,,,,0.0
API,964,롤피자,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053655_1416213415836.jpg,"1. 볼에 밀가루를 담고 가운데에 웅덩이를 만들어 따뜻한 물과 이스트를 넣어 녹인 후 소금을 넣고 밀가루를 조금씩 섞으며 반죽을 한다.
2. 반죽이 하나로 뭉쳐지면 랩으로 싸서 따뜻한 곳에서 30분 정도 발효시킨다.
3. 발효된 반죽을 밀대를 이용하여 넓게 편다.
4. 청, 홍피망은 꼭지부분을 썰어내고 링 모양으로 썰어 심지를 제거하고 베이컨, 양파, 양송이는 슬라이스 한다.
5. 3을 오븐용 팬에 옮긴 뒤 토마토소스를 바르고 준비된 재료들과 피자치즈를 올린다.
6. 반죽을 말아서 윗부분에 칼집을 넣은 뒤 175℃로 예열된 오븐에 굽는다.",1인분,,후식,굽기,2022-08-12,0,0,0,0,밀가루중력분,이스트,따뜻한물,소금,올리브오일,청피망,홍피망,베이컨,양파,양송이,80g,2g,20g,1g,1g,10g,10g,5g,10g,5g,0.0
API,2991,닭곰탕,http://www.foodsafetykorea.go.kr/uploadimg/20230306/20230306031431_1678083271333.jpg,"1. 닭정육과 닭뼈를 깨끗이 씻어 물, 마늘, 대파, 다시마를 넣고 육수를 끓인다.
2. 닭 정육이 익으면 건져 잘게 찢는다.
3. 무는 나박썰기하고 대파와 홍고추, 청양고추는 어슷썰기 하고 양파와 마늘은 다진다.
4. 육수가 우러나면 체에 육수를 걸러낸다.
5. 냄비에 마늘을 볶다가 닭고기를 넣고 함께 볶은 뒤 육수와 손질한 채소를 넣어 푹 끓인다.
6. 후추로 간을 해 마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,3079,미나리버섯고기말이&산채소스,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313010600_1584072360556.jpg,"1. 돈등심은 널찍하게 성형한다.
2. 새송이 버섯은 길게 채썰고, 미나리도 비슷한 사이즈로 썰어 준다.
3. 고기에 미나리, 새송이를 감싸 말아 찹쌀가루를 묻혀 굽는다.
4. 참나물, 취나물, 올리브오일, 땅콩, 마늘, 후추를 믹서에 갈아 소스를 만든다.
5. 소스에 파마산 치즈를 섞어준다.
6. 구워진 고기에 소스를 곁들여 낸다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,돈등심,새송이버섯,미나리,후추0.,찹쌀가루,참나물,취나물,올리브오일,땅콩,파마산치즈,80g,24g,18g,3g,15g,5g,5g,10g,2g,1g,0.0
API,3174,오이파프리카새콤무침,http://www.foodsafetykorea.go.kr/uploadimg/20210128/20210128054738_1611823658692.JPG,"1. 오이는 굵은 소금으로 문질러 깨끗이 씻는다.
2. 오이를 적당한 두께로 썰고 4등분 한다.
3. 파프리카는 깨끗이 씻은 후 씨를 제거한다.
4. 파프리카를 적당한 크기로 썬다.
5. 식초, 설탕, 물을 섞어 단촛물을 만든다.
6. 단촛물에 오이, 파프리카를 버무린다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,오이,식초,설탕,,,,,,,,10g,2g,2g,,,,,,,,0.0
API,3177,양상추샐러드 & 과일드레싱,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309093629_1678322189909.jpg,"1. 양상추는 깨끗이 씻어 먹기 좋은 크기로 썬다.
2. 당근과 적양배추는 곱게 채 썰고, 치커리는 잘게 썬다.
3. 사과는 껍질과 심을 제거한 뒤 한입 크기로 썬다.
4. 파인애플은 껍질과 심을 제거한 뒤 한입 크기로 썬다.
5. 손질한 과일과 레몬즙을 믹서에 넣어 곱게 갈아 드레싱을 만든다.
6. 양상추와 당근, 적양배추를 접시에 깔고 드레싱을 곁들여 마무리한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,986,나스와 샐러드,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053721_1416213441420.jpg,"1. 달걀은 완숙으로 삶아 껍질을 벗긴 뒤 세로로 4등분하고 완두콩은 끓는 물에 삶아 찬물에 헹군 뒤 물기를 제거한다.
2. 오이는 1cm 주사위모양으로 썰고 양파는 링으로 슬라이스 하고 로메인은 먹기 좋게 뜯어 찬물에 담군다.
3. 토마토는 달걀과 같은 모양으로 자르고 홍고추는 어슷하게 썰고 참치는 덩어리가 있게 기름기를 뺀다.
4. 바질은 슬라이스하고 마늘은 다진다.
5. 볼에 올리브오일과 레드와인식초, 머스타드, 설탕, 다진마늘을 섞어 드레싱을 만든다.
6. 다른 볼에 준비해둔 야채들과 달걀, 참치를 넣고 드래싱을 끼얹어 버무린다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,달걀,완두콩,오이,토마토,레드어니언,로메인,홍고추,블랙올리브,바질,캔참치20g<strong>[드래싱]</strong>올리브오일,20g,5g,10g,20g,10g,10g,2g,2g,1g,2g,0.0
API,987,다시마전,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053722_1416213442466.jpg,"1. 냄비에 다시마가 잠길 정도의 물을 붓고 중불에서 삶아 10여분 두었다가 건져 찬물에 휑군 뒤 18cm 크기로 자른다.
2. 청, 홍고추는 씨를 빼 잘게 다지고 부추와 새우 살도 다진다.
3. 밀가루에 물과 소금을 넣고 반죽을 한 뒤 다진 채소들을 넣고 골고루 섞는다.
4. 3에 다시마를 넣어 반죽 물을 입히고 팬에 기름을 둘러 노릇하게 지진다.
5. 다시마전이 한 김 식은 후 돌돌 말아 자를 수 있도록 꼬치로 고정시킨다.
6. 5를 4cm 정도 길이로 자르고 멸치액젓소스를 곁들인다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,다시마,영양부추,청고추다진것,홍고추다진것,새우살다진것,밀가루,물,소금적당량[멸치액적소스]멸치액젓,물,설탕,30g,3g,3g,3g,10g,10g,8g,2g,3g,2g,0.0
API,988,모듬옥수수,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053723_1416213443714.jpg,"1. 청피망, 당근, 닭고기를 옥수수알 크기로 썬다.
2. 팬에 닭고기를 볶는다.
3. 2에 당근을 넣고 볶는다.
4. 3에 잣, 청피망, 옥수수를 넣고 볶는다.
5. 4에 간을 한다.
6. 물전분으로 농도를 맞춘다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,옥수수,잣,청피망,당근,닭고기,식용유,물전분,,,,35g,3g,25g,25g,35g,1g,6g,,,,0.0
API,747,자색고구마호떡,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102008_1416273608450.jpg,"1. 찹쌀을 3~5시간 불린 후 물기를 제거하고 믹서기에 간다.
2. 고구마는 껍질을 벗기고 작게 썰어 찜통에 넣고 찐 후 으깬다.
3. 검정깨는 믹서기에 갈고, 호두와 땅콩은 굵게 다지고 황설탕과 찹쌀가루를 함께 섞어 호떡소를 만든다.
4. 으깬 고구마에 찹쌀가루를 넣고 반죽을 한다.
5. 4의 반죽을 동그랗게 빚어 3의 호떡소를 넣고 둥글납작하게 만든다.
6. 팬에 현미유를 두르고 호떡을 눌러가며 앞뒤로 굽는다.",1인분,,후식,굽기,2022-08-12,0,0,0,0,찹쌀,자색고구마,소금0.,현미유,물17g황설탕,검정깨,땅콩,호두,찹쌀가루0.,계피가루0.,30g,20g,2g,3g,7g,2g,2g,2g,5g,2g,0.0
API,1015,바지락 볶음면,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053752_1416213472408.jpg,"1. 바지락살과 새우는 소금물에 흔들어 씻어 체에 받쳐 물기를 제거한다.
2. 대파, 청, 홍고추는 송송 썰고, 마늘, 생강은 다진다.
3. 끓는 물에 칼국수 면을 삶아 냉수에 헹군 뒤 참기름으로 버무린다.
4. 멸치 육수에 분량의 재료를 넣고 간장 소스를 만든다.
5. 팬에 식용유를 두르고 다진 마늘, 생강, 고추를 넣어 볶다가 센 불에서 바지락살과 새우, 청주를 넣어 볶은 뒤 간장소스를 넣고 끓인다.
6. 5가 반정도 졸면 칼국수 면을 넣어 볶으면서 물전분으로 농도를 맞춘 뒤 송송 썬 파와 참기름을 넣고 마무리한다.",1인분,,일품,볶기,2022-08-12,0,0,0,0,바지락살,칵테일새우,청고추,홍고추,대파,마늘다진것,생강다진것,칼국수면,물전분4g[간장소스]멸치육수,,20g,20g,5g,5g,10g,3g,2g,80g,50g,,0.0
API,2995,삼색 꽃 화전,http://www.foodsafetykorea.go.kr/uploadimg/20190409/20190409044713_1554796033713.jpg,"1. 시금치는 데친 뒤 믹서에 곱게 갈고 치자는 따뜻한 물에 불린다.
2. 곱게 간 시금치에 데쳤던 물을 넣고 가열한 뒤 찹쌀가루 절반에 조금씩 부어 익반죽 한다.
3. 남은 절반의 찹쌀가루에 가열한 치자물을 조금씩 부어 익반죽 한다.
4. 30분 간 휴지시킨 뒤 팬에 기름을 두르고 적당한 크기로 빚은 화전을 지진다.
5. 한쪽 면을 익힐 때 위에 꽃을 올린 뒤 뒤집어 살짝만 지진다.
6. 꿀과 설탕, 물을 1:2:3 비율로 섞어 끓여 시럽을 만들어 화전 위에 끼얹고 타임으로 장식한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,찹쌀가루,시금치,치자,식용꽃,타임,설탕,꿀,,,,60g,30g,5g,5g,5g,15g,20g,,,,0.0
API,1091,삼색 버터롤,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_01091_2.png,"1. 강력분, 꿀, 달걀, 이스트, 소금,
탈지분유, 제빵개량제, 물을
믹서에 넣고 섞는다.
2. 가루가 모두 녹아 섞이면 버터를
넣고 완전히 섞은 뒤 세 덩어리로
나눈다.
3. 60분 간 1차 발효 후 40g씩
분할하여 둥글리기하고 15분 간
중간 발효 한다.
4. 반죽을 손으로 굴려 뭉툭한 원뿔
모양을 만들고 밀대로 밀어 긴
삼각형 모양을 만든다.
5. 각 반죽에 홍시/호두, 곶감/대추,
블루베리/크랜베리를 넣고
버터롤을 모양을 만든다.
6. 40분 간 2차 발효 후 210℃
오븐에서 10분 간 굽는다.",1인분,,후식,굽기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,3085,알록달록연근튀김,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313045226_1584085946623.JPG,"1. 연근은 얇게 썰어 찬물에 담가 전분기를 제거한다.
2. 건새우는 곱게 갈아준다.
3. 시금치, 비트는 각각 믹서기에 갈아 즙을 준비한다.
4. 튀김가루에 새우가루와 물을 넣어 반죽을 한다.
5. 반죽에 시금치, 카레, 비트를 각각 넣어 3가지 색의 반죽을 만든다.
6. 연근에 전분가루를 묻히고 튀김옷을 입혀 바삭하게 튀겨낸다.",1인분,,반찬,튀기기,2022-08-12,0,0,0,0,깐연근22.,비트2.,시금치2.,카레가루1.,건새우0.,전분2.,튀김가루4.,소금0.,식물성기름,,18g,12g,12g,52g,3g,25g,25g,05g,500ml,,0.0
API,3087,잎채소튀김,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313054031_1584088831750.jpg,"1. 볼에 튀김가루, 계란 물을 섞어 반죽을 만든 후 얼음을 넣어 차갑게 한다.
2. 깻잎, 상추, 배추는 깨끗하게 씻어 준비한다.
3. 재료를 먹기 좋은 크기로 썬다.
4. 냄비에 콩기름을 부은 후 적당한 온도가 될 때까지 가열한다.
5. 야채에 반죽을 입힌다.
6. 노릇하게 튀긴다.",1인분,,반찬,튀기기,2022-08-12,0,0,0,0,깻잎,상추,배추,계란,튀김가루,콩기름,,,,,5g,6g,7g,10g,10g,5g,,,,,0.0
API,3179,포항초사과샐러드,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129103512_1611884112461.JPG,"1. 포항초는 세척하고 3cm 크기로 자른다.
2. 당근은 얇게 채 썰어주고, 사과는 껍질 채로 채 썰어 설탕물에 담가 둔다.
3. 양파와 파프리카는 작은 큐브 모양으로 썬다.
4. 저염간장, 레몬즙, 설탕, 양파, 파프리카를 넣어 오리엔탈 드레싱을 만든다.
5. 포항초에 당근과 사과를 넣어 섞어준다.
6. 샐러드에 오리엔탈 드레싱을 곁들여 제공한다.",1인분,,반찬,기타,2022-08-12,0,0,0,0,포항초,사과,당근,양파,파프리카,저염간장0.,설탕0.,,,,20g,5g,2g,2g,1g,4g,2g,,,,0.0
API,3224,생선 파피요트,http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310094914_1615337354153.jpg,,1인분,,일품,기타,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,3285,시금치 후무스,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr98fz,,1인분,,기타,끓이기,2022-08-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0
API,743,매생이조랭이떡국,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102002_1416273602643.jpg,"1. 냄비에 물 1컵 반과 국멸치를 넣고 끓여 멸치국물 1컵을 낸다.
2. 매생이는 물로 서너 번 헹궈 고운체에 받쳐 물기를 제거한다.
3. 굴에 소금을 넣고 으깨지지 않도록 살살 주무른 후 물로 서너 번 헹궈 체에 받친다.
4. 파는 얇게 어슷썰고, 마늘은 다진다.
5. 멸치국물에 조랭이떡, 매생이, 굴을 넣고 끓인다.
6.  파와 다진 마늘을 넣고 한소끔 끓이고, 국간장과 소금으로 간하여 마무리한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,조랭이떡,매생이,굴,파,다진마늘,국멸치,국간장,소금0.,물,,140g,15g,30g,5g,2g,3g,1g,2g,300g,,0.0
API,744,문어핫바,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102003_1416273603782.jpg,"1. 손질한 문어를 데친다.
2. 양파와 감자를 적당한 크기로 자르고 톳과 당근은 잘게 다진다.
3. 데친 문어와 양파, 감자를 믹서기에 넣고 간다.
4. 2와 3에 우리밀가루, 다진 마늘, 후춧가루를 넣고 반죽을 치대 직사각형 모양을 만든다.
5. 팬에 현미유를 두르고 4의 문어를 넣고 지진 후 꼬치에 끼운다.
6. 토마토케첩과 허니머스터드소스를 곁들인다.",1인분,,후식,굽기,2022-08-12,0,0,0,0,문어,톳,감자,당근,양파,우리밀가루,다진마늘,후춧가루0.,토마토케첩,허니머스터드소스,50g,5g,20g,5g,5g,20g,2g,1g,5g,5g,0.0
API,745,매실장아찌와 과매기구이,,"1. 과메기는 꼬리를 잘라낸다.
2. 다진 생강과 마늘즙을 내어 손질한 과메기 위에 뿌린다.
3. 고추장, 다진 마늘, 다진 파, 매실액, 고춧가루, 후춧가루, 물을 섞어 양념장을 만든다.
4. 매실장아찌는 채썬다.
5. 팬에 과메기를 놓고 고추장양념을 발라가며 살짝 굽는다.
6. 매실장아찌를 구운 과메기위에 올려 마무리한다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,과메기,매실장아찌,양파,다진생강,마늘1g고추장,양파,다진마늘,다진파,간장,매실액,60g,15g,5g,1g,10g,5g,3g,3g,2g,2g,0.0
API,748,김치밥그라탕,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102011_1416273611901.jpg,"1. 김치, 양파, 버섯은 다진다.
2. 방울토마토는 4등분한다.
3. 팬에 올리브유를 두르고 김치, 양파, 버섯, 토마토를 볶는다.
4. 밥을 넣어 볶은 뒤 간장으로 간한다.
5. 3, 4를 그릇에 담고 피자치즈를 올려 전자렌지에 치즈가 녹을 정도로 익힌다.
6. 실파를 뿌려 마무리한다.",1인분,,밥,굽기,2022-08-12,0,0,0,0,밥,양파,생표고버섯,방울토마토,올리브유,간장,다진실파,,,,180,20,40,200,12,4,5,,,,0.0
API,989,버섯 들깨탕,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053724_1416213444900.jpg,"1. 끓는 물에 데친 느타리 버섯을 손으로 찢고 생 표고버섯은 데쳐서 물기를 짠 뒤 채썬다.
2. 팽이버섯은 밑동을 제거한 뒤 반으로 자르고 새송이버섯은 팽이버섯 크기로 자른다.
3. 조랭이떡은 물에 휑구고 우엉은 껍질을 벗겨 길이로 3등분 하여 어슷하게 썬 뒤 냉수에 여러번 휑구고 물기를 뺀다.
4. 들깨는 분무기를 이용하여 물을 조금씩 넣으면서 곱게 갈아 체에 밭쳐 들깨 물을 준비하고 찌꺼기는 버린다.
5. 냄비에 들기름을 두르고 우엉을 볶은 뒤 들깨 물을 부어 끓이다가 조랭이 떡을 넣고 끓인다.
6. 5의 떡이 둥둥 떠오르면 버섯을 넣고 한소끔 끓인 뒤 소금으로 간을 한다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,느타리버섯,생표고버섯,팽이버섯,새송이벗서,우엉,조랭이떡,들깨,물,들기름,,15g,15g,15g,15g,15g,15g,8g,50g,2g,,0.0
API,749,누룽지굴죽,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102012_1416273612744.jpg,"1. 굴은 소금물에 흔들어 씻어 굵게 다진다.
2. 부추는 씻어 송송 썬다.
3. 누룽지에 다시마국물을 넣고 2분간 불린 뒤 끓인다.
4. 누룽지가 거의 퍼졌을 때 굴을 넣고 살짝 끓인다.
5. 죽이 퍼지면 부추를 넣고 잠시 끓인다.
6. 그릇에 담고 구운 파래김을 부스러뜨려 얹어낸다.",1인분,,밥,끓이기,2022-08-12,0,0,0,0,굴,누룽지,물,부추,간장,참기름,파래김0.,,,,50,50,450),10,3,2,5,,,,0.0
API,750,콩비지완자탕,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102014_1416273614929.jpg,"1. 콩비지를 체에 받혀 물기를 제거한다.
2. 깍두기와 새우젓을 잘게 다진다.
3. 1에 다진 돼지고기, 깍두기, 새우젓, 계란, 전분, 후추, 파, 마늘을 넣고 치댄다.
4. 치댄 반죽을 한입 크기로 동그랗게 완자를 빚는다.
5. 냄비에 멸치다시마 국물을 넣고 끓으면 완자를 넣어 거품을 걷어가며 끓인다.
6. 완자가 익어서 떠오르면 청경채, 대파, 마늘을 넣고 살짝 끓여 국간장으로 간하여 불에서 내린다.",1인분,,국&찌개,끓이기,2022-08-12,0,0,0,0,완자:콩비지,깍두기,새우젓2.,계란,감자전분,후추0.,다진파,다진마늘,건멸치2.,,50,5,5,5,10,02,4,2국물:멸치다시마국물,5,,0.0
API,751,돼지갈비구이와 백김치와인조림,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102015_1416273615804.jpg,"1. 냄비에 물을 넣고 된장을 풀어 대파, 생강을 넣고 끓인다.
2. 물이 끓으면 돼지갈비를 넣고 5분간 삶는다.
3. 백김치는 5cm 길이로 자른다.
4. 적포도주를 냄비에 넣고 불에 올려 알코올을 날려준 뒤 김치, 맛술, 꿀을 넣고 맛이 배도록 졸인다.
5. 삶아 낸 등갈비에 소금을 뿌리고 올리브유를 발라 팬에 구워낸다.
6. 구운 갈비에 백김치 와인조림을 곁들여 낸다.",1인분,,반찬,굽기,2022-08-12,0,0,0,0,주재료:돼지등갈비,물,된장,대파,생강,올리브유,후추0.,소금0.38김치조림:백김치,적포도주,맛술,200,500,2,10,3,4,02,60,40,15,0.0
